iter,fitness
0,0.440737
1,0.440737
2,0.440737
3,0.249681
4,0.191444
5,0.191444
6,0.191444
7,0.191444
8,0.17917
9,0.17917
10,0.116956
11,0.116956
12,0.116956
13,0.116956
14,0.116956
15,0.102723
16,0.00728186
17,0.00728186
18,0.00728186
19,0.00728186
20,0.00728186
21,0.00728186
22,0.00728186
23,0.00728186
24,0.00728186
25,0.00728186
26,0.00728186
27,0.00728186
28,0.00505399
29,0.00505399
30,0.00139793
31,0.000348122
32,0.000348122
33,0.000167691
34,0.000167691
35,0.000167691
36,0.000167691
37,0.000167691
38,0.000167691
39,0.000137028
40,4.59273e-05
41,4.59273e-05
42,4.59273e-05
43,4.59273e-05
44,4.59273e-05
45,4.59273e-05
46,2.27749e-05
47,1.71629e-05
48,1.71629e-05
49,1.71629e-05
50,1.45918e-05
51,1.45918e-05
52,1.45918e-05
53,4.84066e-06
54,3.13085e-06
55,3.13085e-06
56,3.13085e-06
57,3.13085e-06
58,3.13085e-06
59,3.13085e-06
60,3.13085e-06
61,1.40958e-06
62,1.40958e-06
63,1.40958e-06
64,9.79036e-07
65,9.79036e-07
66,9.43693e-07
67,8.95144e-07
68,8.81438e-07
69,8.42299e-07
70,8.42299e-07
71,7.66302e-07
72,4.06948e-07
73,4.06948e-07
74,4.06948e-07
75,3.41049e-07
76,2.13387e-07
77,1.31581e-07
78,1.31581e-07
79,9.46009e-08
80,8.76594e-08
81,2.98325e-08
82,2.91449e-08
83,1.51102e-08
84,7.31617e-09
85,7.31617e-09
86,3.71676e-09
87,3.71676e-09
88,3.3328e-09
89,3.24087e-09
90,3.24087e-09
91,2.82439e-09
92,2.82439e-09
93,2.79744e-09
94,2.64644e-09
95,1.55947e-09
96,1.55947e-09
97,1.51026e-09
98,1.418e-09
99,1.36621e-09
100,1.33622e-09
101,1.25525e-09
102,7.40605e-10
103,7.40605e-10
104,5.50135e-10
105,3.68362e-10
106,2.12661e-10
107,2.12661e-10
108,2.12661e-10
109,1.60869e-10
110,1.60869e-10
111,1.60869e-10
112,1.18549e-10
113,7.79145e-11
114,7.79145e-11
115,7.34737e-11
116,7.34737e-11
117,7.34737e-11
118,7.34737e-11
119,7.34737e-11
120,7.34737e-11
121,7.34737e-11
122,1.01783e-11
123,1.01783e-11
124,8.75322e-12
125,8.75322e-12
126,8.75322e-12
127,8.75322e-12
128,8.75322e-12
129,5.06649e-12
130,5.06649e-12
131,5.06649e-12
132,5.06649e-12
133,5.06649e-12
134,4.94152e-12
135,4.94152e-12
136,4.44359e-12
137,4.44359e-12
138,2.41289e-12
139,1.13717e-12
140,4.48289e-13
141,4.48289e-13
142,4.48289e-13
143,4.48289e-13
144,4.48289e-13
145,4.48289e-13
146,4.48289e-13
147,4.48289e-13
148,3.74809e-13
149,2.44831e-13
150,2.44831e-13
151,6.63957e-14
152,6.63957e-14
153,6.63957e-14
154,6.63957e-14
155,6.63957e-14
156,6.63957e-14
157,6.63957e-14
158,5.61352e-14
159,5.5707e-14
160,4.34242e-14
161,4.34242e-14
162,3.18286e-14
163,3.18286e-14
164,2.88052e-14
165,2.88052e-14
166,2.88052e-14
167,9.17111e-15
168,8.48538e-15
169,7.50464e-15
170,2.25207e-15
171,1.27292e-15
172,1.27292e-15
173,1.27292e-15
174,1.27292e-15
175,1.27292e-15
176,1.27292e-15
177,1.27292e-15
178,8.01038e-16
179,8.01038e-16
180,8.01038e-16
181,1.15676e-16
182,1.15676e-16
183,1.15676e-16
184,1.15676e-16
185,1.15676e-16
186,1.15676e-16
187,1.15676e-16
188,7.03534e-17
189,7.03534e-17
190,7.03534e-17
191,7.03534e-17
192,7.03534e-17
193,7.03534e-17
194,7.03534e-17
195,5.70253e-17
196,1.78057e-17
197,1.4662e-17
198,1.4662e-17
199,1.10938e-17
200,1.10938e-17
201,1.10938e-17
202,8.52418e-18
203,8.52418e-18
204,8.2418e-18
205,8.2418e-18
206,8.2418e-18
207,8.2418e-18
208,5.72128e-18
209,2.7465e-18
210,1.13695e-18
211,1.13695e-18
212,8.42381e-19
213,8.42381e-19
214,8.42381e-19
215,8.42381e-19
216,6.39781e-19
217,6.39781e-19
218,4.16736e-19
219,4.16736e-19
220,4.16736e-19
221,3.31544e-19
222,3.31544e-19
223,3.31544e-19
224,3.31544e-19
225,3.31544e-19
226,3.26639e-19
227,7.1339e-20
228,7.1339e-20
229,7.1339e-20
230,7.1339e-20
231,7.1339e-20
232,7.1339e-20
233,3.40259e-20
234,3.40259e-20
235,3.40259e-20
236,3.40259e-20
237,3.40259e-20
238,6.98861e-21
239,6.98861e-21
240,6.98861e-21
241,6.98861e-21
242,4.25817e-21
243,4.25817e-21
244,4.25817e-21
245,4.25817e-21
246,4.25817e-21
247,2.89784e-21
248,2.89784e-21
249,2.89784e-21
250,2.89784e-21
251,2.00093e-21
252,2.00093e-21
253,2.00093e-21
254,2.00093e-21
255,1.41805e-21
256,1.41805e-21
257,1.2613e-22
258,1.2613e-22
259,1.2613e-22
260,1.2613e-22
261,1.2613e-22
262,1.2613e-22
263,1.2613e-22
