iter,fitness
0,1.23511
1,0.767442
2,0.767442
3,0.767442
4,0.513151
5,0.437931
6,0.207683
7,0.129027
8,0.0958146
9,0.0958146
10,0.0949089
11,0.0496843
12,0.0496843
13,0.0496843
14,0.0490655
15,0.0053115
16,0.00473851
17,0.00469273
18,0.00469273
19,0.00469273
20,0.00469273
21,0.00469273
22,0.00418442
23,0.00418442
24,0.00381702
25,0.00286017
26,0.00278382
27,0.00278382
28,0.00177378
29,0.00177378
30,0.00177378
31,0.00177378
32,0.00177378
33,0.00177378
34,0.00150432
35,0.00150432
36,0.00150432
37,0.00150432
38,0.00150432
39,0.00126934
40,0.00126934
41,0.00126934
42,0.00126934
43,0.00126934
44,0.00126934
45,0.00126934
46,0.00126934
47,0.00126934
48,0.00126934
49,0.00126934
50,0.00126934
51,0.00126934
52,0.00126934
53,0.00126934
54,0.00120065
55,0.00120065
56,0.00120065
57,0.00118604
58,0.00118604
59,0.00118604
60,0.00118604
61,0.00118604
62,0.00100174
63,0.00100174
64,0.00100174
65,0.000990814
66,0.000990814
67,0.000990814
68,0.000990814
69,0.000990814
70,0.000990814
71,0.000990814
72,0.000990814
73,0.000990814
74,1.46491e-05
75,1.46491e-05
76,1.46491e-05
77,1.46491e-05
78,1.4111e-05
79,1.4111e-05
80,1.4111e-05
81,1.4111e-05
82,1.4111e-05
83,1.4111e-05
84,1.4111e-05
85,1.4111e-05
86,1.4111e-05
87,1.4111e-05
88,1.4111e-05
89,1.4111e-05
90,1.4111e-05
91,1.4111e-05
92,1.4111e-05
93,1.4111e-05
94,1.4111e-05
95,1.4111e-05
96,1.4111e-05
97,1.4111e-05
98,1.4111e-05
99,1.4111e-05
100,1.4111e-05
101,1.4111e-05
102,1.4111e-05
103,1.4111e-05
104,1.4111e-05
105,1.4111e-05
106,1.4111e-05
107,1.4111e-05
108,1.4111e-05
109,1.4111e-05
110,1.4111e-05
111,1.4111e-05
112,1.4111e-05
113,1.4111e-05
114,1.4111e-05
115,1.4111e-05
116,1.4111e-05
117,1.4111e-05
118,1.4111e-05
119,1.4111e-05
120,1.4111e-05
121,1.4111e-05
122,1.4111e-05
123,1.4111e-05
124,1.4111e-05
125,1.4111e-05
126,1.4111e-05
127,1.4111e-05
128,1.4111e-05
129,1.4111e-05
130,1.4111e-05
131,1.4111e-05
132,1.40869e-05
133,1.40869e-05
134,1.40869e-05
135,1.40869e-05
136,1.40869e-05
137,1.40869e-05
138,1.40869e-05
139,1.40869e-05
140,1.40869e-05
141,1.40869e-05
142,1.40869e-05
143,1.21274e-05
144,1.21274e-05
145,1.21274e-05
146,1.21274e-05
147,1.21274e-05
148,1.21274e-05
149,1.21274e-05
150,1.21274e-05
151,1.21274e-05
152,1.21274e-05
153,1.21274e-05
154,1.21274e-05
155,1.21274e-05
156,1.21274e-05
157,1.21274e-05
158,1.21274e-05
159,1.21274e-05
160,1.21274e-05
161,1.21274e-05
162,1.21274e-05
163,1.21274e-05
164,1.21274e-05
165,1.21274e-05
