iter,fitness
0,1.31784
1,1.31784
2,1.31784
3,1.31784
4,1.31784
5,0.994613
6,0.994613
7,0.994613
8,0.994613
9,0.994613
10,0.535771
11,0.535771
12,0.535771
13,0.535771
14,0.535771
15,0.535771
16,0.388117
17,0.388117
18,0.388117
19,0.261736
20,0.261736
21,0.261736
22,0.261736
23,0.261736
24,0.261736
25,0.237428
26,0.237428
27,0.237428
28,0.237428
29,0.237428
30,0.237428
31,0.237428
32,0.112398
33,0.112398
34,0.112398
35,0.0434357
36,0.0434357
37,0.0434357
38,0.0434357
39,0.0434357
40,0.0434357
41,0.0434357
42,0.0434357
43,0.0434357
44,0.0434357
45,0.0434357
46,0.0434357
47,0.0434357
48,0.0416575
49,0.0416575
50,0.0416575
51,0.0416575
52,0.0416575
53,0.0416575
54,0.0416575
55,0.0396227
56,0.0280013
57,0.0138385
58,0.0138385
59,0.00913165
60,0.00913165
61,0.00913165
62,0.00913165
63,0.00913165
64,0.00869934
65,0.00869934
66,0.00354588
67,0.00354588
68,0.00354588
69,0.00354588
70,0.00354588
71,0.00312237
72,0.00312237
73,0.00312237
74,0.00312237
75,0.00312237
76,0.000522549
77,0.000522549
78,0.000522549
79,0.000522549
80,0.000522549
81,0.000522549
82,0.000522549
83,0.000522549
84,0.000522549
85,0.000251328
86,0.000251328
87,3.57263e-05
88,3.57263e-05
89,3.57263e-05
90,3.57263e-05
91,3.57263e-05
92,3.57263e-05
93,3.57263e-05
94,3.57263e-05
95,3.57263e-05
96,3.57263e-05
97,3.57263e-05
98,3.57263e-05
99,3.57263e-05
100,3.57263e-05
101,3.57263e-05
102,3.57263e-05
103,3.57263e-05
104,3.57263e-05
105,3.57263e-05
106,3.57263e-05
107,3.57263e-05
108,2.53291e-05
109,2.53291e-05
110,2.53291e-05
111,1.57442e-05
112,1.29111e-05
113,1.29111e-05
114,1.15317e-05
115,1.15317e-05
116,1.15317e-05
117,1.15317e-05
118,3.79524e-06
119,3.79524e-06
120,3.79524e-06
121,3.79524e-06
122,3.79524e-06
123,3.79524e-06
124,3.79524e-06
125,3.79524e-06
126,3.79524e-06
127,3.79524e-06
128,3.79524e-06
129,2.6745e-06
130,2.6745e-06
131,2.6745e-06
132,2.6745e-06
133,2.6745e-06
134,2.6745e-06
135,2.6745e-06
136,2.6745e-06
137,1.44698e-06
138,1.44698e-06
139,1.44698e-06
140,8.80286e-07
141,8.80286e-07
142,8.80286e-07
143,8.80286e-07
144,8.80286e-07
145,8.80286e-07
146,8.80286e-07
147,8.80286e-07
148,8.80286e-07
149,8.80286e-07
150,8.80286e-07
151,6.08312e-07
152,2.53459e-07
153,1.56158e-07
154,1.56158e-07
155,9.99107e-08
156,9.99107e-08
157,9.86633e-08
158,9.30259e-08
159,5.21518e-08
160,5.21518e-08
161,5.21518e-08
162,5.21518e-08
163,5.21518e-08
164,5.21518e-08
165,5.21518e-08
166,5.21518e-08
167,5.21518e-08
168,5.21518e-08
169,1.29708e-08
170,1.29708e-08
171,1.29708e-08
172,1.29708e-08
173,1.29708e-08
174,1.29708e-08
175,1.20069e-08
176,1.20069e-08
177,1.20069e-08
178,1.20069e-08
179,1.20069e-08
180,1.20069e-08
181,4.26127e-09
182,4.26127e-09
183,4.26127e-09
184,4.26127e-09
185,4.26127e-09
186,4.26127e-09
187,4.26127e-09
188,4.26127e-09
189,4.26127e-09
190,3.17753e-09
191,3.17753e-09
192,3.17753e-09
193,9.76958e-10
194,9.76958e-10
195,6.52125e-10
196,6.52125e-10
197,6.52125e-10
198,5.42871e-10
199,5.42871e-10
200,5.42871e-10
201,4.01076e-10
202,4.01076e-10
203,4.01076e-10
204,4.01076e-10
205,4.01076e-10
206,1.7964e-10
207,1.7964e-10
208,1.7964e-10
209,1.7964e-10
210,1.55654e-10
211,1.55654e-10
212,1.55654e-10
213,1.55654e-10
214,1.40068e-10
215,1.40068e-10
216,1.40068e-10
217,1.40068e-10
218,2.50539e-11
219,2.50539e-11
220,2.50539e-11
221,2.50539e-11
222,2.50539e-11
223,2.50539e-11
224,2.50539e-11
225,2.50539e-11
226,1.40778e-11
227,1.40778e-11
228,1.40778e-11
229,1.40778e-11
230,1.40778e-11
231,1.40778e-11
232,1.40778e-11
233,1.40778e-11
234,1.29791e-11
235,1.29791e-11
236,1.29791e-11
237,9.6117e-12
