run,best
0,0.454325
1,4.98096e-06
2,6.20252e-07
3,6.2201e-07
4,8.11026e-07
5,1.96993e-06
6,0.454327
7,0.454325
8,1.16513e-06
9,0.454329
10,8.28563e-07
11,2.41208e-07
12,1.70559e-06
13,3.21088e-07
14,0.454325
15,4.06627e-08
16,2.16353e-07
17,3.44341e-06
18,8.33549e-07
19,2.23485e-06
