run,best
0,1.71545
0,1.71545
0,0.456644
0,0.456644
0,0.358948
0,0.358948
0,0.166656
0,0.166656
0,0.166656
0,0.166656
0,0.11158
0,0.11158
0,0.11158
0,0.104786
0,0.104786
0,0.104786
0,0.104786
0,0.0656035
0,0.0643634
0,0.0643634
0,0.0325023
0,0.0325023
0,0.0325023
0,0.0325023
0,0.0149383
0,0.0149383
0,0.00776953
0,0.00776953
0,0.00724969
0,0.00724969
0,0.00724969
0,0.00405796
0,0.00381077
0,0.00381077
0,0.00260845
0,0.00260845
0,0.00260845
0,0.00203273
0,0.00160364
0,0.000529748
0,0.000529748
0,0.000529748
0,0.000529748
0,0.000529748
0,0.000529748
0,0.000529748
0,0.000529748
0,0.000529748
0,0.000479437
0,0.000479437
0,0.000444018
0,0.000206792
0,0.000195674
0,0.000195674
0,6.11747e-05
0,6.11747e-05
0,6.11747e-05
0,4.95021e-05
0,3.35475e-05
0,3.35475e-05
0,3.35475e-05
0,2.9114e-05
0,9.3525e-06
0,9.3525e-06
0,9.3525e-06
0,6.84167e-06
0,6.84167e-06
0,6.84167e-06
0,6.84167e-06
0,6.39933e-06
0,6.07997e-06
0,3.22811e-06
0,3.15793e-06
0,3.03523e-06
0,1.25638e-06
0,1.25638e-06
0,1.25638e-06
0,1.25638e-06
0,1.25638e-06
0,1.25638e-06
0,1.25638e-06
0,1.25638e-06
0,1.15451e-06
0,1.15451e-06
0,8.94251e-07
0,1.98176e-07
0,1.98176e-07
0,1.98176e-07
0,1.98176e-07
0,1.98176e-07
0,1.98176e-07
0,1.98176e-07
0,1.58911e-07
0,1.13826e-07
0,1.13826e-07
0,1.13826e-07
0,1.01338e-07
0,1.01338e-07
0,9.38581e-08
0,6.49702e-08
0,4.51464e-08
0,4.51464e-08
0,2.60903e-08
0,2.48209e-08
0,9.32538e-09
0,9.32538e-09
0,5.44926e-09
0,5.44926e-09
0,4.7901e-09
0,4.7901e-09
0,3.12569e-09
0,3.07733e-09
0,2.45842e-09
0,7.14573e-10
